#SP M/Mo R/Ro log(g/go) log(p/po) Teff
03 120 15 -0.3 -1.5 42000
05 60 12 -0.4 -1.5 42000
06 37 10 -0.45 -1.45 42000
08 23 8.5 -0.5 -1.4  34000
BO 17.5 7.4 -0.5 -1.4  30000
B3 7.6 4.8 -0.5 -1.15  20900
B5 5.9 3.9 -0.4 -1.00  15200
B8 3.8 3.0 -0.4 -0.85  11400 
AO 2.9 2.4 -0.3 -0.7  9790
A5 2.0 1.7 -0.15 -0.4 8180
FO 1.6 1.5 -0.1 -0.3  7300
F5 1.4 1.3 -0.1 -0.2 6650
GO 1.05 1.1 -0.05 -0.1 5940
G5 0.92 0.92 +0.05 -0.1 5560
KO 0.79 0.85 +0.05 +0.1 5150
K5 0.67 0.72 +0.1 +0.25 4410
MO 0.51 0.60 +0.15 +0.35 3840
M2 0.40 0.50 +0.2 +0.8 3520
M5 0.21 0.27 +0.5 +1.0 3170
MS 0.06 0.10 +0.5 +1.2  3170
